"time","ca_cyto_substance_amount","ca_sub_substance_amount","der(ca_cyto_substance_amount)","der(ca_sub_substance_amount)","ca_cyto_con","ca_sub_con"
0,2.3869177326e-19,2.8135458119e-21,-6.226789875249998e-17,6.226789875249998e-17,0.0001206,6.397e-05
1e-05,2.381422953789265e-19,3.363023692973316e-21,-4.822568622847002e-17,4.822568622847002e-17,0.0001203223740409969,7.646316783952524e-05
2e-05,2.377167300922821e-19,3.788588979617697e-21,-3.735012889714085e-17,3.735012889714085e-17,0.0001201073554298887,8.613900509495524e-05
3e-05,2.373871386934416e-19,4.118180378458239e-21,-2.892723758881236e-17,2.892723758881236e-17,0.0001199408280202621,9.36327383388406e-05
4e-05,2.371318651782159e-19,4.373453893684015e-21,-2.240358108501537e-17,2.240358108501537e-17,0.0001198118500269456,9.943674789145752e-05
5e-05,2.369341585753545e-19,4.571160496545393e-21,-1.73510790091165e-17,1.73510790091165e-17,0.0001197119579528308,0.0001039318911130643
6e-05,2.36781041528782e-19,4.724277543117902e-21,-1.343808781678121e-17,1.343808781678121e-17,0.0001196345949353944,0.0001074132268097554
7.000000000000001e-05,2.366624592167383e-19,4.842859855161564e-21,-1.040765095177888e-17,1.040765095177888e-17,0.0001195746807345942,0.0001101093657776546
8.000000000000001e-05,2.365706123085751e-19,4.934706763324789e-21,-8.060452186318498e-18,8.060452186318498e-18,0.0001195282747065472,0.0001121976369870129
9.000000000000001e-05,2.364994836166849e-19,5.005835455214949e-21,-6.242718948127266e-18,6.242718948127266e-18,0.0001194923366424707,0.0001138148498296006
0.0001,2.364443918746807e-19,5.060927197219231e-21,-4.834818873911322e-18,4.834818873911322e-18,0.000119464501313272,0.0001150674396118989
0.00011,2.364017260330928e-19,5.103593038807186e-21,-3.744469588287014e-18,3.744469588287014e-18,0.0001194429442213571,0.0001160375087235649
0.00012,2.363686852360297e-19,5.136633835870273e-21,-2.900093662877697e-18,2.900093662877697e-18,0.0001194262502227689,0.0001167887386410541
0.00013,2.3634309616478e-19,5.162222907119963e-21,-2.24615073058207e-18,2.24615073058207e-18,0.0001194133212392913,0.0001173705428828472
0.00014,2.363232740060156e-19,5.182045065884191e-21,-1.739584450773521e-18,1.739584450773521e-18,0.000119403306012062,0.0001178212280967806
0.00015,2.363079225803378e-19,5.197396491562179e-21,-1.34727023878734e-18,1.34727023878734e-18,0.0001193955496411093,0.0001181702647808351
0.00016,2.362960332655313e-19,5.2092858063686e-21,-1.043432193567479e-18,1.043432193567479e-18,0.0001193895425159115,0.0001184405854079064
0.00017,2.362868234052428e-19,5.218495666657158e-21,-8.080690971750877e-19,8.080690971750877e-19,0.0001193848891961275,0.0001186499847928986
0.00018,2.362796923220648e-19,5.225626749835057e-21,-6.258303047508726e-19,6.258303047508726e-19,0.000119381286187027,0.0001188121201983221
0.00019,2.362741707048665e-19,5.23114836703349e-21,-4.847223096023705e-19,4.847223096023705e-19,0.0001193784963672313,0.0001189376620859608
0.0002,2.362698933423371e-19,5.235425729562772e-21,-3.754119337939641e-19,3.754119337939641e-19,0.0001193763352122237,0.0001190349140588417
0.00021,2.362665806105109e-19,5.23873846138901e-21,-2.907532315214268e-19,2.907532315214268e-19,0.0001193746614408458,0.0001191102337689485
0.00022,2.362640149744215e-19,5.241304097478422e-21,-2.25186975867103e-19,2.25186975867103e-19,0.000119373365142661,0.000119168567185787
0.00023,2.36262027685827e-19,5.243291386072886e-21,-1.744007117584708e-19,1.744007117584708e-19,0.0001193723610569265,0.0001192137510427017
0.00024,2.36260488470639e-19,5.244830601260986e-21,-1.350652124854507e-19,1.350652124854507e-19,0.0001193715833621231,0.0001192487473079717
0.00025,2.362592966125469e-19,5.246022459352903e-21,-1.046066167863007e-19,1.046066167863007e-19,0.0001193709811709208,0.0001192758459113844
0.00026,2.362583745517205e-19,5.246944520179373e-21,-8.10428400969741e-20,8.10428400969741e-20,0.0001193705152958965,0.0001192968102869491
0.00027,2.362576603661166e-19,5.247658705783285e-21,-6.279143020913083e-20,6.279143020913083e-20,0.0001193701544506832,0.0001193130483211368
0.00028,2.362571071073111e-19,5.248211964588733e-21,-4.865259406214222e-20,4.865259406214222e-20,0.0001193698749143966,0.0001193256274537156
0.00029,2.362566783077785e-19,5.248640764121422e-21,-3.769438377634715e-20,3.769438377634715e-20,0.0001193696582616694,0.0001193353768261943
0.0003,2.362563458768006e-19,5.248973195099318e-21,-2.919892544764038e-20,2.919892544764038e-20,0.0001193694902995508,0.0001193429351213414
0.00031,2.362560883735203e-19,5.249230698379526e-21,-2.261828606093458e-20,2.261828606093458e-20,0.0001193693601949596,0.0001193487898277994
0.00032,2.362558889854075e-19,5.249430086492428e-21,-1.752281206178464e-20,1.752281206178464e-20,0.0001193692594532956,0.0001193533232025638
0.00033,2.362557346324218e-19,5.249584439478055e-21,-1.357823576024016e-20,1.357823576024016e-20,0.0001193691814658149,0.0001193568326391079
0.00034,2.362556150289507e-19,5.249704042949118e-21,-1.05217026091618e-20,1.05217026091618e-20,0.0001193691210356692,0.0001193595519955909
0.0003500000000000001,2.362555222820871e-19,5.249796789812782e-21,-8.151504980918155e-21,8.151504980918155e-21,0.000119369074174935,0.0001193616607285795
0.00036,2.362554503907245e-19,5.249868681175412e-21,-6.314281268226245e-21,6.314281268226245e-21,0.0001193690378515284,0.0001193632952818354
0.00037,2.362553946955793e-19,5.249924376320549e-21,-4.890960891722391e-21,4.890960891722391e-21,0.0001193690097113273,0.0001193645615908535
0.00038,2.362553517083425e-19,5.249967363557343e-21,-3.792398173022486e-21,3.792398173022486e-21,0.0001193689879918491,0.0001193655389673462
