prime;points raw;points string;points custom;dates raw;dates string;english;german;time
25165799;45.1;9.2;12.2;19.0;16.2;10.9;18.8;56.711
25165800;45.0;9.1;12.2;11.8;16.2;10.3;20.0;59.099
25165801;44.8;9.1;12.2;10.8;16.2;11.0;18.7;60.814
25165802;45.1;9.1;12.2;13.4;15.9;11.5;18.7;59.389
25165803;44.8;9.1;12.2;10.1;15.6;11.1;17.8;59.680
25165804;44.9;9.1;12.2;11.5;14.9;12.6;20.1;59.968
25165805;44.9;9.2;12.2;16.6;14.4;11.1;19.7;63.369
25165806;45.0;9.2;12.2;11.5;14.2;11.6;18.5;110.770
25165807;44.9;9.1;12.2;13.6;14.3;10.3;17.6;79.846
25165808;44.7;9.1;12.2;6.1;14.5;17.0;22.5;59.712
25165809;44.8;9.1;12.2;14.3;15.1;11.0;18.3;64.358
25165810;44.7;9.2;12.2;9.9;15.3;11.5;17.6;60.339
25165811;44.7;9.1;12.2;12.0;15.7;13.5;19.1;60.197
25165812;44.6;9.1;12.2;17.6;15.7;11.2;18.1;74.597
25165813;44.5;9.1;12.2;8.5;15.7;11.4;19.2;57.913
25165814;44.4;9.0;12.2;10.0;16.0;11.9;19.8;58.644
25165815;43.9;9.0;12.2;9.8;16.0;11.2;19.3;57.436
25165816;43.6;9.0;12.2;7.5;15.8;15.4;20.6;73.813
25165817;43.2;9.0;12.2;10.7;15.4;10.8;18.7;71.739
25165818;42.9;9.0;12.2;22.6;14.8;11.5;18.5;75.797
25165819;41.9;9.0;12.2;13.5;14.5;12.7;19.2;73.247
25165820;40.4;9.1;12.2;12.1;14.0;12.1;19.1;74.354
25165821;38.6;9.1;12.2;28.3;13.7;11.3;18.9;72.275
25165822;35.1;9.2;12.2;46.0;13.6;13.2;19.7;55.661
25165823;28.6;9.1;12.2;70.4;14.0;23.8;21.8;57.079
25165824;47.3;9.1;12.2;96.3;14.3;87.3;86.9;57.642
25165825;47.4;9.0;12.2;70.0;14.8;18.9;18.4;57.492
25165826;47.5;9.0;12.2;43.4;15.1;13.0;20.7;56.445
25165827;47.7;9.0;12.2;31.1;15.8;10.9;18.8;57.109
25165828;47.5;9.1;12.2;16.3;15.6;14.2;21.0;58.249
25165829;47.6;9.1;12.2;11.1;15.8;11.9;19.7;55.513
25165830;47.9;9.2;12.2;26.2;15.8;11.3;19.9;57.255
25165831;47.7;9.1;12.2;9.5;15.9;11.2;19.7;55.987
25165832;47.9;9.1;12.2;7.4;15.5;16.8;21.6;56.676
25165833;47.6;9.1;12.2;10.6;15.3;9.1;18.3;56.756
25165834;47.7;9.0;12.2;11.9;15.0;11.3;18.8;57.303
25165835;47.8;9.0;12.2;8.4;14.9;12.1;19.0;58.231
25165836;47.9;9.0;12.2;16.5;14.3;11.8;19.0;56.362
25165837;47.8;9.0;12.2;11.6;14.1;11.7;19.9;61.549
25165838;47.6;9.0;12.2;8.9;14.1;10.9;17.5;54.783
25165839;47.4;9.0;12.2;12.5;14.5;10.1;19.0;58.049
25165840;48.0;9.0;12.2;6.4;14.6;17.7;21.3;56.738
25165841;48.2;9.0;12.2;12.9;15.2;12.8;17.8;58.511
25165842;47.7;9.1;12.2;10.3;15.7;12.1;18.5;57.729
25165843;47.8;9.2;12.2;17.2;16.1;10.9;17.6;59.856
25165844;48.0;9.1;12.2;14.3;15.8;11.1;18.0;59.717
25165845;47.9;9.2;12.2;8.3;15.8;11.1;18.4;58.086
25165846;47.7;9.2;12.2;21.3;15.5;11.6;18.7;56.352
25165847;47.7;9.1;12.2;9.9;15.3;11.6;19.2;58.766
25165848;47.8;9.1;12.2;10.9;15.0;14.2;18.3;56.023
25165849;48.3;9.1;12.2;21.7;14.9;9.6;17.8;55.189
