prime;points raw;points string;points custom;dates raw;dates string;english;german;russian;time
8166;12.7;9.0;12.2;5.3;16.3;11.3;12.1;12.3;54.744
8167;12.6;9.1;12.2;19.6;16.3;10.2;9.3;13.6;55.213
8168;12.7;9.0;12.2;9.0;16.6;10.5;12.9;13.1;59.632
8169;12.6;9.0;12.2;5.9;16.9;11.0;12.9;13.2;56.434
8170;12.9;9.0;12.2;8.9;16.6;12.6;12.5;13.2;55.377
8171;13.1;9.1;12.2;11.8;16.5;12.6;9.1;13.8;55.820
8172;13.1;9.1;12.2;12.5;16.2;12.1;11.8;14.4;57.262
8173;13.2;9.1;12.2;19.9;15.7;12.2;12.4;13.0;56.837
8174;13.4;9.1;12.2;21.2;15.4;11.2;12.2;11.5;60.675
8175;13.6;9.1;12.2;10.4;15.3;10.9;11.8;11.4;58.746
8176;13.6;9.1;12.2;5.2;15.4;11.6;14.2;16.7;58.351
8177;13.7;9.1;12.2;7.7;15.4;11.8;12.0;12.8;59.054
8178;13.5;9.0;12.2;18.9;15.4;10.7;9.6;14.1;63.911
8179;13.6;9.1;12.2;11.5;15.9;14.5;11.7;13.3;66.151
8180;13.5;9.2;12.2;29.6;16.2;11.1;11.4;13.3;59.925
8181;13.9;9.0;12.2;24.7;16.4;12.0;12.3;13.5;57.991
8182;13.8;9.1;12.2;25.4;16.3;11.7;12.6;12.5;55.020
8183;13.4;9.0;12.2;29.8;16.4;11.3;12.7;12.2;57.953
8184;12.6;9.0;12.2;29.8;16.5;12.3;12.4;14.3;55.045
8185;14.2;9.0;12.2;34.3;16.8;11.9;11.3;13.9;56.717
8186;16.7;9.0;12.2;37.4;16.8;11.1;9.4;12.0;63.435
8187;20.1;9.0;12.2;43.4;16.9;12.2;10.7;11.9;59.368
8188;25.0;9.1;12.2;50.9;16.3;11.4;12.1;11.8;57.134
8189;31.8;9.1;12.2;57.5;16.0;14.1;11.1;12.4;57.452
8190;41.9;9.2;12.2;69.1;15.6;17.0;12.0;14.9;57.871
8191;57.3;9.1;12.2;84.0;15.6;43.2;38.9;23.9;59.067
8192;75.7;9.0;12.2;89.8;15.7;92.1;92.4;88.7;62.076
8193;57.5;9.0;12.2;83.7;15.8;33.8;26.7;25.8;57.463
8194;42.2;9.0;12.2;69.8;16.0;16.8;12.0;13.6;59.664
8195;32.1;9.0;12.2;56.0;16.5;12.8;11.0;13.6;58.713
8196;25.1;9.1;12.2;49.2;17.0;11.3;11.0;13.5;57.951
8197;20.3;9.0;12.2;43.1;17.4;11.8;12.0;13.8;57.357
8198;16.9;9.1;12.2;37.4;17.5;10.7;10.5;12.3;57.312
8199;14.1;9.0;12.2;35.2;17.9;12.8;11.6;12.6;54.381
8200;12.3;8.9;12.2;31.6;17.3;10.5;12.0;12.7;53.245
8201;13.6;9.0;12.2;28.0;17.7;10.7;11.9;13.3;54.825
8202;13.9;8.9;12.2;25.3;17.6;11.2;9.9;12.7;54.789
8203;14.0;8.9;12.2;23.9;17.2;10.5;11.9;13.7;54.055
8204;13.6;8.9;12.2;26.6;16.6;12.9;8.9;11.8;53.790
8205;13.6;9.0;12.2;11.9;16.5;10.9;10.6;12.9;54.438
8206;13.6;8.9;12.2;15.8;16.4;11.2;13.3;14.5;54.134
8207;13.5;9.0;12.2;8.4;16.4;11.7;11.2;13.0;54.813
8208;13.4;9.0;12.2;1.4;16.4;13.0;12.3;15.3;54.499
8209;13.8;9.0;12.2;12.8;16.2;12.0;12.1;12.4;53.661
8210;13.5;9.1;12.2;19.7;16.3;12.2;10.0;12.3;55.247
8211;13.3;9.1;12.2;18.5;16.6;11.0;11.9;12.8;53.573
8212;13.6;9.2;12.2;7.4;17.0;10.7;10.9;15.9;54.507
8213;13.1;9.1;12.2;10.6;17.3;11.9;9.8;12.5;55.356
8214;12.8;9.1;12.2;13.9;17.3;11.8;10.2;11.4;53.806
8215;12.6;9.1;12.2;5.5;17.6;13.4;12.0;11.8;53.186
8216;12.3;9.1;12.2;13.2;17.4;12.1;11.5;14.5;54.144
